Type,Tipo
Quoted prices kept; charge it like any sale.,Se conservan los precios cotizados; cóbrala como cualquier venta.
Priced at today's rates — the quotation had expired.,Con precios de hoy — la cotización estaba vencida.
This quotation expired. It was quoted at,Esta cotización venció. Se cotizó en
and today's prices make it,y con precios de hoy queda en
"This quotation expired. Today's prices are the same, so the total is unchanged at","Esta cotización venció. Los precios de hoy son los mismos, así que el total no cambia:"
↑↓ moves · Enter opens · the quoted price holds while the quotation is valid,↑↓ recorre · Enter abre · se conserva el precio cotizado mientras la cotización esté vigente
Could not load the quotations.,No se pudieron cargar las cotizaciones.
Could not open this quotation.,No se pudo abrir esta cotización.
Could not load this quotation into the sale.,No se pudo cargar esta cotización a la venta.
Could not print this quotation.,No se pudo imprimir esta cotización.
Not built yet,Aún no está hecho
Extending a quotation's validity is not built yet — save a new one instead.,Extender la vigencia aún no está hecho — guarda una cotización nueva.
{0} days left,{0} días
expires today,vence hoy
tomorrow,mañana
expired {0} days ago,venció hace {0} días
Save quotation,Guardar cotización
File this cart as a quotation,Guarda este carrito como cotización
Valid for (days),Vigencia (días)
Note (optional),Nota (opcional)
Quotation saved,Cotización guardada
valid until,vigente hasta
Add at least one item before saving a quotation.,Agrega al menos un artículo antes de guardar una cotización.
Choose a customer first — a quotation is a promise to someone.,Elige primero un cliente — una cotización es una promesa a alguien.
The counter customer cannot hold a quotation. Choose a real customer — a quotation is a promise to someone who can come back for it.,El cliente de mostrador no puede tener una cotización. Elige un cliente real — una cotización es una promesa a alguien que puede volver por ella.
Could not save the quotation.,No se pudo guardar la cotización.
Refund as,Devolver como
The money goes back the way it came in,El dinero regresa por donde entró
"Credited to the customer's balance, spendable on any purchase","Se abona al monedero del cliente, se usa en cualquier compra"
"Credit needs an owner — set a real customer on the sale, or refund in cash.","El saldo necesita dueño — pon un cliente real en la venta, o devuelve en efectivo."
Refund as credit note,Devolver con nota de crédito
"Credited to {0}'s balance — usable on any purchase. Note {1}.","Se abona al monedero de {0} — se usa en cualquier compra. Nota {1}."
Server returned no credit note.,El servidor no devolvió ninguna nota de crédito.
Could not issue the credit note,No se pudo emitir la nota de crédito
"{0}, kept apart · {1} · {2} points","{0}, aparte · {1} · {2} puntos"
Weighed {0},Pesado {0}
Quote,Cotización
Delivery,Entrega
New sale,Venta nueva
Online · synced,En línea · sincronizado
{0} tickets today,{0} tickets hoy
Shift since {0},Turno desde {0}
{0} · shift since {1},{0} · turno desde {1}
Open shift,Turno abierto
To upload · {0},Por subir · {0}
Cash count,Conteo de caja
Receivables,Cobranza
To collect,Por cobrar
Collected today,Cobrado hoy
Overdue invoices,Vencidas
Due soon,Por vencer
All receivables,Todas
Layaway,Apartado
"What is owed, and collecting it","Lo que deben, y cobrarlo"
{0} invoices,{0} facturas
{0} payments,{0} pagos
oldest {0} days,la más vieja {0} días
Invoice total,Total de la factura
On this invoice,En esta factura
and {0} more,y {0} más
Payments received,Pagos recibidos
at the counter,al comprar
Nothing has been paid against this invoice yet.,Todavía no se ha pagado nada de esta factura.
Reading the invoice…,Leyendo la factura…
Has {0} in store credit,Tiene {0} en su monedero
can be applied when collecting,se puede aplicar al cobrar
COLLECT {0},COBRAR {0}
Reminder,Recordatorio
Reminders,Recordatorios
Gentle reminder,Recordatorio amable
Firm reminder,Recordatorio firme
Final notice,Aviso final
Nobody has reminded this customer yet.,Todavía nadie le ha recordado a este cliente.
Each press steps the ladder — at most one step per day.,Cada pulsación sube la escalera — máximo un escalón por día.
Filed as {0}. The back office sees {1} and what is pending on it.,"Quedó como {0}. La oficina ve {1} y lo que queda pendiente."
The escalation log could not be updated — the ladder may show one step behind.,No se pudo actualizar la bitácora de escalamiento — la escalera puede ir un paso atrás.
Reminder filed,Recordatorio enviado
Reminder updated,Recordatorio actualizado
Statement,Estado de cuenta
"The reminder is filed as a CRM follow-up, with the folio and the balance.","El recordatorio queda como seguimiento en el CRM, con folio y pendiente."
Choose an invoice and collect against it — no searching required.,Elige una factura y cóbrala — no hay que buscar nada.
Back to the list,Volver a la lista
Loading…,Cargando…
Showing the first {0} — narrow the list to reach the rest.,Mostrando las primeras {0} — filtra la lista para llegar al resto.
"↑↓ moves · Enter collects · searching refines the list, it is never the way in","↑↓ recorre · Enter cobra · buscar refina la lista, nunca es la puerta de entrada"
Could not read what is owed to this register.,No se pudo leer lo que le deben a esta caja.
Could not open this invoice.,No se pudo abrir esta factura.
Could not file the reminder.,No se pudo enviar el recordatorio.
This invoice has no customer to collect from.,Esta factura no tiene cliente a quién cobrarle.
No CRM on this site,No hay CRM en este sitio
"There is nowhere to file a follow-up, so nothing was recorded.","No hay dónde dejar un seguimiento, así que no se registró nada."
Collection reminder · {0} · {1} pending,Recordatorio de cobro · {0} · {1} pendiente
The back office sees {0} and what is pending on it.,La oficina ve {0} y lo que queda pendiente.
Printing a customer statement is not built yet — this list is the customer's open items.,Imprimir el estado de cuenta todavía no existe — esta lista son las facturas abiertas del cliente.
{0} days ago,hace {0} días
due today,vence hoy
in {0} days,en {0} días
Nothing is overdue. Every invoice on this register is still inside its term.,Nada vencido. Todas las facturas de esta caja están dentro de su plazo.
Nothing falls due in the next 7 days.,Nada vence en los próximos 7 días.
No payments received yet today.,Todavía no se ha cobrado nada hoy.
Nothing is pending payment on this register.,No hay nada por cobrar en esta caja.
Nothing in this list matches what you typed.,Nada en esta lista coincide con lo que escribiste.
Loading receivables...,Cargando cobranza...
{0} has no such value as {1}.,{0} no tiene ningún valor «{1}».
Cobro,Cobro
Service Orders,Órdenes de servicio
All orders,Todas las órdenes
No open shift,Sin turno abierto
There is no open shift on this register to close.,No hay un turno abierto que cerrar en esta caja.
Could not prepare closing,No se pudo preparar el corte
The server returned no closing draft for this shift — try again.,El servidor no devolvió el borrador del corte — inténtalo de nuevo.
Scan barcode,Escanear código
Tap a card to add it,Toca una tarjeta para agregarla
See all {0},Ver los {0}
Combos,Combos
{0} compatible with {1},{0} compatibles con {1}
Tips,Propinas
Tipped sales,Ventas con propina
Sale in progress · {0} items,Venta en curso · {0} artículos
BACK TO SALE,VOLVER A VENTA
Kitchen ticket did not print,La comanda no se imprimió
Split bill,Dividir cuenta
Nothing fired in this service window.,Nada enviado en esta ventana de servicio.
Printing,Imprimiendo
In the kitchen,En cocina
Print failed,Impresión fallida
last 12 h,últimas 12 h
VOID — whole ticket,ANULACIÓN — ticket completo
more,más
failed,fallidos
Comandas,Comandas
Served,Servida
served,servida
Recall,Recuperar
Kitchen display,Pantalla de cocina
Connecting…,Conectando…
This account has no table-service register to watch.,Esta cuenta no tiene un registro con servicio de mesas.
Register,Registro
Station,Estación
Expo — all stations,Expo — todas las estaciones
Watch the kitchen,Ver la cocina
Change station,Cambiar estación
All quiet — nothing on the pass.,Todo tranquilo — nada en el pase.
no paper — cook from the screen,sin papel — cocina desde la pantalla
SERVED,SERVIDA
Everything,Todo
Course,Curso
sent,enviada
Mesa,Mesa
Settles at source,Se liquida en origen
Payment registered,Pago registrado
settled through its source document.,liquidado a través de su documento de origen.
Could not register the payment on the source document.,No se pudo registrar el pago en el documento de origen.
The source document did not confirm the payment.,El documento de origen no confirmó el pago.
Order here,Ordena aquí
Tap to start · pay at the counter,Toca para empezar · paga en caja
Kiosk,Kiosko
This account has no kiosk-enabled register.,Esta cuenta no tiene un registro con kiosko habilitado.
no walk-in customer,sin cliente mostrador
Start over,Empezar de nuevo
PAY AT THE COUNTER,PAGAR EN CAJA
Your order,Tu orden
Keep browsing,Seguir viendo
A name for the order?,¿A nombre de quién?
Confirm order,Confirmar orden
Pay at the counter — say your number.,Paga en caja — di tu número.
The register accepts,La caja acepta
price list,lista de precios
"Adjust the rate, or mark the item as variable-price.","Corrige el precio, o marca el artículo como precio variable."
Pickup board,Tablero de órdenes
This account has no register with an order queue.,Esta cuenta no tiene una caja con fila de órdenes.
Ready — come to the counter,Listas — pasa a caja
"Nothing waiting — your order will appear here.","Nada en espera — tu orden aparecerá aquí."
Delivered orders,Órdenes entregadas
"Yesterday's shift is still open — sales are blocked until you close it.","El turno de ayer sigue abierto — las ventas están bloqueadas hasta hacer el corte."
Close shift now,Hacer corte ahora
New movement,Nuevo movimiento
Movements this shift,Movimientos del turno
No movements this shift yet.,Aún no hay movimientos en este turno.
Expenses and deposits you submit will appear here.,Los gastos y depósitos que registres aparecerán aquí.
Unit price,Precio unitario
Line total,Total de la línea
Remove line,Quitar la línea
Choose a batch,Elige lote
Choose a serial number,Elige número de serie
Choose a batch and a serial number,Elige lote y número de serie
Search batch,Buscar lote
Search serial number,Buscar número de serie
All batches,Todos los lotes
Expiry,Caducidad
Manufactured,Fabricado
Purchased,Comprado
Expired lot,Caducado
Expires today,Caduca hoy
